Price,Close,Volume
Ticker,^NSEI,^NSEI
Date,,
2017-02-15,8724.7001953125,216100
2017-02-16,8778.0,184600
2017-02-17,8821.7001953125,298300
2017-02-20,8879.2001953125,167800
2017-02-21,8907.849609375,175700
2017-02-22,8926.900390625,247100
2017-02-23,8939.5,377200
2017-02-27,8896.7001953125,189900
2017-02-28,8879.599609375,293600
2017-03-01,8945.7998046875,205900
2017-03-02,8899.75,218800
2017-03-03,8897.5498046875,202600
2017-03-06,8963.4501953125,174800
2017-03-07,8946.900390625,173400
2017-03-08,8924.2998046875,177800
2017-03-09,8927.0,171500
2017-03-10,8934.5498046875,152700
2017-03-14,9087.0,270300
2017-03-15,9084.7998046875,240600
2017-03-16,9153.7001953125,208600
2017-03-17,9160.0498046875,286700
2017-03-20,9126.849609375,332100
2017-03-21,9121.5,247700
2017-03-22,9030.4501953125,232300
2017-03-23,9086.2998046875,191800
2017-03-24,9108.0,203700
2017-03-27,9045.2001953125,202700
2017-03-28,9100.7998046875,183300
2017-03-29,9143.7998046875,243400
2017-03-30,9173.75,323400
2017-03-31,9173.75,190900
2017-04-03,9237.849609375,139100
2017-04-05,9265.150390625,184800
2017-04-06,9261.9501953125,186100
2017-04-07,9198.2998046875,190000
2017-04-10,9181.4501953125,135800
2017-04-11,9237.0,200100
2017-04-12,9203.4501953125,161800
2017-04-13,9150.7998046875,166500
2017-04-17,9139.2998046875,0
2017-04-18,9105.150390625,174200
2017-04-19,9103.5,173700
2017-04-20,9136.400390625,170300
2017-04-21,9119.400390625,155200
2017-04-24,9217.9501953125,167700
2017-04-25,9306.599609375,168700
2017-04-26,9351.849609375,185700
2017-04-27,9342.150390625,209400
2017-04-28,9304.0498046875,162200
2017-05-02,9313.7998046875,161600
2017-05-03,9311.9501953125,151600
2017-05-04,9359.900390625,269600
2017-05-05,9285.2998046875,231900
2017-05-08,9314.0498046875,174300
2017-05-09,9316.849609375,132300
2017-05-10,9407.2998046875,152700
2017-05-11,9422.400390625,171100
2017-05-12,9400.900390625,154300
2017-05-15,9445.400390625,140800
2017-05-16,9512.25,166500
2017-05-17,9525.75,205500
2017-05-18,9429.4501953125,193300
2017-05-19,9427.900390625,252100
2017-05-22,9438.25,196800
2017-05-23,9386.150390625,224400
2017-05-24,9360.5498046875,211800
2017-05-25,9509.75,289200
2017-05-26,9595.099609375,218800
2017-05-29,9604.900390625,235000
2017-05-30,9624.5498046875,193900
2017-05-31,9621.25,414300
2017-06-01,9616.099609375,176100
2017-06-02,9653.5,162200
2017-06-05,9675.099609375,127700
2017-06-06,9637.150390625,145900
2017-06-07,9663.900390625,160700
2017-06-08,9647.25,155400
2017-06-09,9668.25,159000
2017-06-12,9616.400390625,141400
2017-06-13,9606.900390625,129700
2017-06-14,9618.150390625,181800
2017-06-15,9578.0498046875,171100
2017-06-16,9588.0498046875,213200
2017-06-19,9657.5498046875,141700
2017-06-20,9653.5,159500
2017-06-21,9633.599609375,144000
2017-06-22,9630.0,198800
2017-06-23,9574.9501953125,175200
2017-06-27,9511.400390625,203300
2017-06-28,9491.25,172400
2017-06-29,9504.099609375,259300
2017-06-30,9520.900390625,179600
2017-07-03,9615.0,183000
2017-07-04,9613.2998046875,144800
2017-07-05,9637.599609375,130800
2017-07-06,9674.5498046875,147400
2017-07-07,9665.7998046875,141800
2017-07-10,9771.0498046875,37500
2017-07-11,9786.0498046875,179700
2017-07-12,9816.099609375,145500
2017-07-13,9891.7001953125,181300
2017-07-14,9886.349609375,159600
2017-07-17,9915.9501953125,163500
2017-07-18,9827.150390625,293900
2017-07-19,9899.599609375,200200
2017-07-20,9873.2998046875,161100
2017-07-21,9915.25,187500
2017-07-24,9966.400390625,174500
2017-07-25,9964.5498046875,185500
2017-07-26,10020.650390625,197600
2017-07-27,10020.5498046875,287900
2017-07-28,10014.5,191600
2017-07-31,10077.099609375,237700
2017-08-01,10114.650390625,184300
2017-08-02,10081.5,161500
2017-08-03,10013.650390625,192700
2017-08-04,10066.400390625,178600
2017-08-07,10057.400390625,137400
2017-08-08,9978.5498046875,203300
2017-08-09,9908.0498046875,169200
2017-08-10,9820.25,235500
2017-08-11,9710.7998046875,285900
2017-08-14,9794.150390625,195600
2017-08-16,9897.2998046875,219500
2017-08-17,9904.150390625,197600
2017-08-18,9837.400390625,246300
2017-08-21,9754.349609375,205300
2017-08-22,9765.5498046875,183600
2017-08-23,9852.5,168600
2017-08-24,9857.0498046875,184700
2017-08-28,9912.7998046875,159600
2017-08-29,9796.0498046875,173300
2017-08-30,9884.400390625,157800
2017-08-31,9917.900390625,327700
2017-09-01,9974.400390625,157800
2017-09-04,9912.849609375,148800
2017-09-05,9952.2001953125,139200
2017-09-06,9916.2001953125,149200
2017-09-07,9929.900390625,188800
2017-09-08,9934.7998046875,163600
2017-09-11,10006.0498046875,173000
2017-09-12,10093.0498046875,182600
2017-09-13,10079.2998046875,215000
2017-09-14,10086.599609375,225600
2017-09-15,10085.400390625,266600
2017-09-18,10153.099609375,156100
2017-09-19,10147.5498046875,187500
2017-09-20,10141.150390625,199400
2017-09-21,10121.900390625,191800
